t,headX,headY,headZ,headRotX,headRotY,headRotZ,leftHandX,leftHandY,leftHandZ,leftHandRotX,leftHandRotY,leftHandRotZ,rightHandX,rightHandY,rightHandZ,rightHandRotX,rightHandRotY,rightHandRotZ

0,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.7943166,1.811289,0.5508873,7.645154,12.75654,46.59362,-0.4485424,2.171309,0.5221539,7.645154,12.75654,46.59362

0.02,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.7943166,1.811289,0.5508873,7.645154,12.75654,46.59362,-0.4485424,2.171309,0.5221539,7.645154,12.75654,46.59362

0.12,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408844,2.273467,0.3373958,321.8448,165.6631,268.405,-0.2206625,2.221106,0.2607626,346.6977,197.9949,258.7288

0.1780512,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408943,2.27347,0.3373964,321.8412,165.6735,268.4004,-0.2206625,2.221107,0.2607627,346.6975,197.9949,258.7288

0.194122,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.140866,2.273462,0.3373946,321.8516,165.6436,268.4135,-0.2206622,2.221105,0.2607619,346.6993,197.9945,258.7293

0.2044591,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408941,2.27347,0.3373964,321.8412,165.6733,268.4005,-0.2206626,2.221107,0.2607628,346.6975,197.9949,258.7288

0.216605,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408941,2.27347,0.3373964,321.8412,165.6733,268.4005,-0.2206626,2.221107,0.2607628,346.6975,197.9949,258.7288

0.2290011,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408947,2.27347,0.3373964,321.841,165.674,268.4002,-0.2206626,2.221107,0.2607628,346.6975,197.9949,258.7288

0.240694,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408946,2.27347,0.3373964,321.8411,165.6739,268.4002,-0.2206626,2.221107,0.2607628,346.6975,197.9949,258.7288

0.2540046,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408949,2.273471,0.3373965,321.841,165.6741,268.4001,-0.2206626,2.221107,0.2607628,346.6975,197.9949,258.7288

0.2650494,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408947,2.27347,0.3373965,321.841,165.674,268.4002,-0.2206626,2.221107,0.2607628,346.6975,197.9949,258.7288

0.280585,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408945,2.27347,0.3373964,321.8411,165.6737,268.4003,-0.2206626,2.221107,0.2607628,346.6974,197.9949,258.7288

0.290838,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408946,2.27347,0.3373965,321.841,165.6739,268.4002,-0.2206626,2.221107,0.2607628,346.6975,197.9949,258.7288

0.3034868,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408945,2.27347,0.3373964,321.8411,165.6737,268.4003,-0.2206625,2.221107,0.2607628,346.6975,197.9949,258.7288

0.3161869,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408946,2.27347,0.3373964,321.8411,165.6739,268.4002,-0.2206626,2.221107,0.2607628,346.6975,197.9949,258.7288

0.3290963,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408946,2.27347,0.3373965,321.841,165.674,268.4002,-0.2206626,2.221107,0.2607628,346.6975,197.9949,258.7288

0.3413166,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408945,2.27347,0.3373964,321.8411,165.6738,268.4003,-0.2206625,2.221107,0.2607628,346.6975,197.9949,258.7288

0.4413166,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408815,2.273467,0.3373956,321.8458,165.6601,268.4063,-0.2206624,2.221106,0.2607624,346.6983,197.9947,258.729

0.4831772,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408574,2.273459,0.3373941,321.8548,165.6345,268.4176,-0.2206622,2.221104,0.2607617,346.6998,197.9944,258.7295

0.4930844,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408904,2.273469,0.3373962,321.8426,165.6694,268.4022,-0.2206626,2.221106,0.2607626,346.6978,197.9949,258.7289

0.5020718,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408946,2.27347,0.3373965,321.8411,165.6738,268.4003,-0.2206625,2.221107,0.2607628,346.6975,197.9949,258.7288

0.5133191,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408948,2.273471,0.3373965,321.841,165.6741,268.4001,-0.2206626,2.221107,0.2607628,346.6975,197.9949,258.7288

0.5260134,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408943,2.27347,0.3373964,321.8412,165.6735,268.4004,-0.2206626,2.221107,0.2607628,346.6975,197.9949,258.7288

0.5378816,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408946,2.27347,0.3373964,321.8411,165.6738,268.4002,-0.2206626,2.221107,0.2607628,346.6975,197.9949,258.7288

0.5508363,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408947,2.27347,0.3373965,321.841,165.6741,268.4001,-0.2206626,2.221107,0.2607628,346.6975,197.9949,258.7288

0.5628043,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408946,2.27347,0.3373964,321.841,165.6739,268.4002,-0.2206626,2.221107,0.2607628,346.6975,197.9949,258.7288

0.575315,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408945,2.27347,0.3373964,321.8411,165.6737,268.4003,-0.2206625,2.221107,0.2607628,346.6975,197.9949,258.7288

0.5878217,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408949,2.273471,0.3373965,321.8409,165.6742,268.4001,-0.2206626,2.221107,0.2607628,346.6974,197.9949,258.7288

0.6016902,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408943,2.27347,0.3373964,321.8412,165.6735,268.4004,-0.2206626,2.221107,0.2607628,346.6975,197.9949,258.7288

0.6133037,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408945,2.27347,0.3373964,321.8411,165.6738,268.4003,-0.2206625,2.221107,0.2607628,346.6975,197.9949,258.7288

0.62565,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408946,2.27347,0.3373965,321.8411,165.6738,268.4003,-0.2206626,2.221107,0.2607628,346.6975,197.9949,258.7288

0.6383176,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408946,2.27347,0.3373964,321.841,165.6739,268.4002,-0.2206626,2.221107,0.2607628,346.6975,197.9949,258.7288

0.6507599,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408948,2.273471,0.3373965,321.841,165.6741,268.4001,-0.2206626,2.221107,0.2607628,346.6975,197.9949,258.7288

0.662895,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408946,2.27347,0.3373964,321.8411,165.6738,268.4002,-0.2206626,2.221107,0.2607628,346.6975,197.9949,258.7288

0.6761654,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408942,2.27347,0.3373964,321.8412,165.6734,268.4005,-0.2206625,2.221107,0.2607627,346.6975,197.9949,258.7288

0.6879239,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408947,2.27347,0.3373964,321.841,165.674,268.4002,-0.2206626,2.221107,0.2607628,346.6975,197.9949,258.7288

0.7010296,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408945,2.27347,0.3373964,321.8411,165.6737,268.4003,-0.2206625,2.221107,0.2607628,346.6975,197.9949,258.7288

0.713464,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408946,2.27347,0.3373964,321.841,165.6739,268.4002,-0.2206626,2.221107,0.2607628,346.6975,197.9949,258.7288

0.7256794,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408949,2.273471,0.3373965,321.8409,165.6742,268.4001,-0.2206626,2.221107,0.2607628,346.6974,197.9949,258.7288

0.7382276,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408945,2.27347,0.3373964,321.8411,165.6737,268.4003,-0.2206625,2.221107,0.2607628,346.6975,197.9949,258.7288

0.7510173,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408945,2.27347,0.3373964,321.8411,165.6737,268.4003,-0.2206625,2.221107,0.2607628,346.6975,197.9949,258.7288

0.7635117,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408947,2.27347,0.3373965,321.841,165.674,268.4002,-0.2206626,2.221107,0.2607628,346.6975,197.9949,258.7288

0.775613,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408943,2.27347,0.3373964,321.8412,165.6736,268.4004,-0.2206626,2.221107,0.2607628,346.6974,197.9949,258.7288

0.788198,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408946,2.27347,0.3373964,321.841,165.6739,268.4002,-0.2206626,2.221107,0.2607628,346.6975,197.9949,258.7288

0.8007083,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408949,2.273471,0.3373965,321.8409,165.6742,268.4001,-0.2206626,2.221107,0.2607628,346.6974,197.9949,258.7288

0.8129259,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408948,2.273471,0.3373965,321.841,165.6741,268.4001,-0.2206626,2.221107,0.2607628,346.6975,197.9949,258.7288

0.8256325,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408946,2.27347,0.3373964,321.841,165.6739,268.4002,-0.2206626,2.221107,0.2607628,346.6975,197.9949,258.7288

0.8383332,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408946,2.27347,0.3373965,321.841,165.674,268.4002,-0.2206626,2.221107,0.2607628,346.6975,197.9949,258.7288

0.8507231,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408945,2.27347,0.3373964,321.8411,165.6737,268.4003,-0.2206625,2.221107,0.2607628,346.6975,197.9949,258.7288

0.8636281,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408947,2.27347,0.3373965,321.841,165.674,268.4002,-0.2206626,2.221107,0.2607628,346.6975,197.9949,258.7288

0.8754672,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408946,2.27347,0.3373965,321.841,165.674,268.4002,-0.2206626,2.221107,0.2607628,346.6975,197.9949,258.7288

0.8879332,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408945,2.27347,0.3373964,321.8411,165.6737,268.4003,-0.2206625,2.221107,0.2607628,346.6975,197.9949,258.7288

0.9006949,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408946,2.27347,0.3373964,321.841,165.6739,268.4002,-0.2206626,2.221107,0.2607628,346.6975,197.9949,258.7288

0.9128386,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408945,2.27347,0.3373964,321.8411,165.6737,268.4003,-0.2206626,2.221107,0.2607628,346.6974,197.9949,258.7288

0.9259556,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408946,2.27347,0.3373965,321.8411,165.6738,268.4003,-0.2206625,2.221107,0.2607628,346.6975,197.9949,258.7288

0.9382901,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408946,2.27347,0.3373965,321.841,165.6739,268.4002,-0.2206626,2.221107,0.2607628,346.6975,197.9949,258.7288

0.9508246,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408943,2.27347,0.3373964,321.8412,165.6736,268.4004,-0.2206626,2.221107,0.2607628,346.6974,197.9949,258.7288

