t,headX,headY,headZ,headRotX,headRotY,headRotZ,leftHandX,leftHandY,leftHandZ,leftHandRotX,leftHandRotY,leftHandRotZ,leftHandVelX,leftHandVelY,leftHandVelZ,leftHandAngVelX,leftHandAngVelY,leftHandAngVelZ,rightHandX,rightHandY,rightHandZ,rightHandRotX,rightHandRotY,rightHandRotZ,rightHandVelX,rightHandVelY,rightHandVelZ,rightHandAngVelX,rightHandAngVelY,rightHandAngVelZ

12.74692,0,0,0,0,0,0,-0.25,1,0,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0

12.76692,0,0,0,0,0,0,-0.25,1,0,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0

12.80568,0,0,0,0,0,0,0,0,0,0,0,0,-2.572196E+38,8.393778E-43,-1.723597E-43,0,5.512856E-37,8.393778E-43,0.388469,1.374491,0.17076,341.7071,82.48332,268.6428,6.599584E-05,-0.0001403196,2.668744E-05,0.0009468739,-1.075065E-05,-0.002398066

12.90568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3965807,1.369414,0.1593652,341.4382,82.78143,269.5369,5.860587E-05,-0.0001223291,2.060576E-05,0.001789345,0.0005025677,-0.0021056

12.92004,0,0,0,0,0,0,0.03365547,1.328626,0.1238058,341.5963,83.6028,268.9224,0.000230582,-0.001155597,0.0009922985,-0.03822172,-0.02305014,-0.01796177,0.4260107,1.341688,0.09521809,341.8445,82.64165,269.4237,0.0005226356,-0.001108638,0.0006830762,-0.03783623,-0.02942356,-0.01880541

12.93058,0,0,0,0,0,0,0.036206,1.326438,0.1267771,341.585,83.60269,268.9491,8.934998E-05,-0.0004428007,0.0005552096,-0.02780548,-0.01414483,-0.006806299,0.4279611,1.339381,0.08975858,341.8269,82.66755,269.4608,-7.795175E-05,0.0001622558,-0.0005614483,-0.01408475,0.00297404,0.002815016

12.93627,0,0,0,0,0,0,0.03951882,1.323777,0.1320686,341.5784,83.59748,268.9892,-9.160538E-05,0.0004781125,0.0002260498,0.001688441,-0.003230284,0.007516528,0.4295896,1.336712,0.08076988,341.8386,82.65371,269.4828,0.0001110332,-0.0002337854,0.0004160672,0.007724104,-0.00347791,-0.004015498

12.94177,0,0,0,0,0,0,0.04094728,1.322674,0.1342699,341.5788,83.58871,268.9866,-5.144535E-05,0.0002894386,0.0008324759,-0.0005372911,-0.01320912,0.004559397,0.4303969,1.335082,0.07507859,341.8315,82.65752,269.485,-0.0001110652,0.0002375641,0.0001363006,0.01040114,0.002554699,0.004022726

