t,headX,headY,headZ,headRotX,headRotY,headRotZ,leftHandX,leftHandY,leftHandZ,leftHandRotX,leftHandRotY,leftHandRotZ,rightHandX,rightHandY,rightHandZ,rightHandRotX,rightHandRotY,rightHandRotZ

0.9346635,-0.08182957,1.13981,0.4891782,337.7935,14.75745,21.74084,-0.25,1,0,0,0,0,0.25,1,0,0,0,0

0.9346635,-0.0819222,1.139827,0.4892309,337.7484,14.70478,21.7889,-0.25,1,0,0,0,0,0.25,1,0,0,0,0

0.9546635,-0.07889159,1.13938,0.4898386,337.9175,15.04087,21.17674,-0.25,1,0,0,0,0,0.25,1,0,0,0,0

0.990716,-0.07889719,1.139377,0.4897906,337.9249,15.01697,21.19496,0,0,0,0,0,0,-0.07834609,0.8111513,0.5428073,358.01,289.7953,51.65231

1.021305,-0.07850318,1.139342,0.4898419,337.9805,15.01956,21.1198,0,0,0,0,0,0,-0.07834426,0.8111454,0.5428157,358.0139,289.8032,51.6606

1.040076,-0.07841673,1.139338,0.4898556,338.0016,15.01172,21.12559,0,0,0,0,0,0,-0.07834551,0.8111536,0.5428095,358.0078,289.7975,51.65334

1.077029,-0.07847038,1.139385,0.4898803,337.9668,15.02926,21.14614,0,0,0,0,0,0,-0.07834481,0.8111554,0.5428115,358.0057,289.7992,51.65261

1.100937,-0.07840233,1.13934,0.4899085,337.909,14.94286,21.1276,0,0,0,0,0,0,-0.07834414,0.811151,0.5428155,358.01,289.8029,51.65014

1.126659,-0.07842801,1.139265,0.4899543,337.9167,15.00612,21.11422,0,0,0,0,0,0,-0.07834449,0.8111542,0.5428131,358.0068,289.8008,51.65361

1.151508,-0.07834738,1.139251,0.4899929,337.9385,14.98551,21.05975,0,0,0,0,0,0,-0.07834475,0.8111499,0.5428133,358.0112,289.801,51.65219

1.176703,-0.07833738,1.139258,0.4899778,337.9499,14.94897,21.05982,0,0,0,0,0,0,-0.07834454,0.8111495,0.5428155,358.0116,289.8028,51.65233

1.19176,-0.07839061,1.139337,0.4899284,337.9621,14.94852,21.13687,0,0,0,0,0,0,-0.07834447,0.8111517,0.5428143,358.009,289.8019,51.65554

1.20597,-0.07839414,1.139361,0.4898632,337.9655,14.98509,21.17794,0,0,0,0,0,0,-0.07834428,0.8111501,0.5428159,358.011,289.8035,51.65326

1.219672,-0.07837798,1.139374,0.4897878,337.974,14.99269,21.1972,0,0,0,0,0,0,-0.07834495,0.8111471,0.5428126,358.0141,289.8005,51.65119

1.233768,-0.07828256,1.139372,0.4897457,337.9646,14.98548,21.20393,0,0,0,0,0,0,-0.07834442,0.8111491,0.5428153,358.0119,289.8029,51.65367

1.333768,-0.0782639,1.139364,0.4897013,337.9656,15.03168,21.17249,0,0,0,0,0,0,-0.07834679,0.8111417,0.5428089,358.0196,289.7972,51.65834

1.387897,-0.07806733,1.139151,0.4899074,337.9219,14.96508,21.08862,0,0,0,0,0,0,-0.07834727,0.8111322,0.5428099,358.0278,289.7975,51.66261

1.411464,-0.07812832,1.139254,0.4900162,337.9541,14.8921,21.01405,0,0,0,0,0,0,-0.07834633,0.8111411,0.5428143,358.0213,289.8018,51.65429

1.450274,-0.07836663,1.139325,0.4900237,337.9778,14.86599,20.99515,0,0,0,0,0,0,-0.07834633,0.8111376,0.5428152,358.0248,289.8028,51.65396

1.487561,-0.07850195,1.139336,0.4900306,337.9641,14.89929,21.07122,0,0,0,0,0,0,-0.07834719,0.8111399,0.5428124,358.0223,289.8001,51.65927

1.510539,-0.07880581,1.139408,0.4900379,337.9399,14.89128,21.13879,0,0,0,0,0,0,-0.07834568,0.8111401,0.5428182,358.0226,289.8059,51.65598

1.532433,-0.07878281,1.139378,0.4900134,337.9201,14.88116,21.11667,0,0,0,0,0,0,-0.0783458,0.8111363,0.5428184,358.0261,289.8059,51.65541

1.557539,-0.07908384,1.139415,0.4900597,337.8891,14.8702,21.17273,0,0,0,0,0,0,-0.07834676,0.8111376,0.5428136,358.0251,289.8015,51.65488

1.580661,-0.07932763,1.139441,0.4900196,337.857,14.84921,21.20509,0,0,0,0,0,0,-0.07834613,0.8111395,0.5428162,358.0232,289.804,51.65571

