t,headX,headY,headZ,headRotX,headRotY,headRotZ,leftHandX,leftHandY,leftHandZ,leftHandRotX,leftHandRotY,leftHandRotZ,rightHandX,rightHandY,rightHandZ,rightHandRotX,rightHandRotY,rightHandRotZ

0,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281,0.3654902,1.871062,0.1575612,1.616898,33.10204,343.9281,0.7658361,1.732696,-0.1081038,1.616898,33.10204,343.9281

0.02,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281,0.3654902,1.871062,0.1575612,1.616898,33.10204,343.9281,0.7658361,1.732696,-0.1081038,1.616898,33.10204,343.9281

0.12,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281

0.1625837,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281

0.1763079,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281

0.1841155,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281

0.2050989,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281

0.2301716,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281

0.2547093,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281

0.283957,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281

0.3048523,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281

0.3292856,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281

0.3546962,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281

0.3796541,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281

0.4047491,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281

0.4298023,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281

0.4555501,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281

0.4793253,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281

0.5047623,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281

0.530113,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281

0.554955,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281

0.5793054,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281

0.6045883,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281

0.6301658,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281

0.6546403,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281

0.680028,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281

0.7047104,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281

0.7291569,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281

0.7545249,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281

0.7796119,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281,0.3189442,0.8413464,0.1532085,1.616898,33.10204,343.9281

