t,headX,headY,headZ,headRotX,headRotY,headRotZ,leftHandX,leftHandY,leftHandZ,leftHandRotX,leftHandRotY,leftHandRotZ,rightHandX,rightHandY,rightHandZ,rightHandRotX,rightHandRotY,rightHandRotZ

0,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.7943166,1.811289,0.5508873,7.645154,12.75654,46.59362,-0.4485424,2.171309,0.5221539,7.645154,12.75654,46.59362

0.02,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.7943166,1.811289,0.5508873,7.645154,12.75654,46.59362,-0.4485424,2.171309,0.5221539,7.645154,12.75654,46.59362

0.12,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408896,2.273469,0.3373961,321.8429,165.6686,268.4026,-0.2206624,2.221106,0.2607624,346.6982,197.9948,258.729

0.1915727,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.140877,2.273465,0.3373953,321.8475,165.6553,268.4084,-0.2206622,2.221105,0.2607622,346.6986,197.9947,258.7291

0.206569,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408558,2.273458,0.3373939,321.8553,165.633,268.4182,-0.2206622,2.221104,0.2607617,346.6999,197.9944,258.7295

0.2127933,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408867,2.273468,0.337396,321.844,165.6655,268.4039,-0.2206625,2.221106,0.2607625,346.698,197.9948,258.7289

0.2193291,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408936,2.27347,0.3373964,321.8415,165.6727,268.4008,-0.2206625,2.221106,0.2607627,346.6975,197.9949,258.7288

0.2337724,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408941,2.27347,0.3373964,321.8412,165.6734,268.4005,-0.2206626,2.221107,0.2607628,346.6975,197.9949,258.7288

0.2440065,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408943,2.27347,0.3373964,321.8412,165.6736,268.4004,-0.2206626,2.221107,0.2607628,346.6974,197.9949,258.7288

0.2560155,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408949,2.273471,0.3373965,321.8409,165.6742,268.4001,-0.2206626,2.221107,0.2607628,346.6974,197.9949,258.7288

0.2688869,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408945,2.27347,0.3373964,321.8411,165.6737,268.4003,-0.2206625,2.221107,0.2607628,346.6975,197.9949,258.7288

0.2811077,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408946,2.27347,0.3373965,321.8411,165.6738,268.4003,-0.2206626,2.221107,0.2607628,346.6975,197.9949,258.7288

0.2934918,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408948,2.273471,0.3373965,321.841,165.6741,268.4001,-0.2206626,2.221107,0.2607628,346.6975,197.9949,258.7288

0.3059801,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408945,2.27347,0.3373964,321.8411,165.6737,268.4003,-0.2206625,2.221107,0.2607628,346.6975,197.9949,258.7288

0.3184239,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408948,2.27347,0.3373965,321.841,165.6741,268.4001,-0.2206626,2.221107,0.2607628,346.6975,197.9949,258.7288

0.3312062,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408946,2.27347,0.3373965,321.8411,165.6738,268.4003,-0.2206626,2.221107,0.2607628,346.6975,197.9949,258.7288

0.3440103,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408946,2.27347,0.3373964,321.8411,165.6738,268.4002,-0.2206626,2.221107,0.2607628,346.6975,197.9949,258.7288

0.3564494,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408945,2.27347,0.3373964,321.8411,165.6737,268.4003,-0.2206626,2.221107,0.2607628,346.6974,197.9949,258.7288

0.4564494,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408811,2.273467,0.3373956,321.846,165.6597,268.4065,-0.2206624,2.221106,0.2607624,346.6983,197.9947,258.729

0.499628,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408579,2.273459,0.3373941,321.8546,165.6351,268.4173,-0.2206623,2.221104,0.2607617,346.6998,197.9944,258.7295

0.5102715,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408885,2.273468,0.3373961,321.8433,165.6675,268.403,-0.2206625,2.221106,0.2607626,346.6978,197.9948,258.7289

0.517798,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408943,2.27347,0.3373964,321.8412,165.6735,268.4004,-0.2206625,2.221107,0.2607627,346.6975,197.9949,258.7288

0.5302932,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408945,2.27347,0.3373964,321.8411,165.6737,268.4003,-0.2206625,2.221107,0.2607628,346.6975,197.9949,258.7288

0.5428861,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408945,2.27347,0.3373964,321.8411,165.6737,268.4003,-0.2206625,2.221107,0.2607628,346.6975,197.9949,258.7288

0.5550802,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408946,2.27347,0.3373964,321.841,165.6739,268.4002,-0.2206626,2.221107,0.2607628,346.6975,197.9949,258.7288

0.5671277,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408943,2.27347,0.3373964,321.8412,165.6736,268.4004,-0.2206626,2.221107,0.2607628,346.6974,197.9949,258.7288

0.5799099,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408946,2.27347,0.3373964,321.841,165.6739,268.4002,-0.2206626,2.221107,0.2607628,346.6975,197.9949,258.7288

0.5929915,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408948,2.273471,0.3373965,321.841,165.6741,268.4001,-0.2206626,2.221107,0.2607628,346.6975,197.9949,258.7288

0.6051139,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408948,2.273471,0.3373965,321.841,165.6741,268.4001,-0.2206626,2.221107,0.2607628,346.6975,197.9949,258.7288

0.6178208,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408946,2.27347,0.3373964,321.8411,165.6738,268.4002,-0.2206626,2.221107,0.2607628,346.6975,197.9949,258.7288

0.6300526,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408948,2.273471,0.3373965,321.841,165.6741,268.4001,-0.2206626,2.221107,0.2607628,346.6975,197.9949,258.7288

0.6422534,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408946,2.27347,0.3373964,321.8411,165.6739,268.4002,-0.2206626,2.221107,0.2607628,346.6975,197.9949,258.7288

0.6551045,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408947,2.27347,0.3373965,321.841,165.674,268.4002,-0.2206626,2.221107,0.2607628,346.6975,197.9949,258.7288

0.6678722,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408949,2.273471,0.3373965,321.8409,165.6741,268.4001,-0.2206626,2.221107,0.2607628,346.6974,197.9949,258.7288

0.6803546,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408946,2.27347,0.3373964,321.8411,165.6739,268.4002,-0.2206626,2.221107,0.2607628,346.6975,197.9949,258.7288

0.6929632,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408947,2.27347,0.3373965,321.841,165.674,268.4002,-0.2206626,2.221107,0.2607628,346.6975,197.9949,258.7288

0.7050206,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408946,2.27347,0.3373965,321.8411,165.6738,268.4003,-0.2206625,2.221107,0.2607628,346.6975,197.9949,258.7288

0.7176647,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408948,2.27347,0.3373965,321.841,165.6741,268.4001,-0.2206626,2.221107,0.2607628,346.6975,197.9949,258.7288

0.7298047,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408948,2.273471,0.3373965,321.841,165.6741,268.4001,-0.2206626,2.221107,0.2607628,346.6975,197.9949,258.7288

0.7423938,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408945,2.27347,0.3373964,321.8411,165.6738,268.4003,-0.2206625,2.221107,0.2607628,346.6975,197.9949,258.7288

0.7549017,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408947,2.27347,0.3373964,321.841,165.674,268.4002,-0.2206626,2.221107,0.2607628,346.6975,197.9949,258.7288

0.7679143,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408946,2.27347,0.3373965,321.8411,165.6738,268.4003,-0.2206625,2.221107,0.2607628,346.6975,197.9949,258.7288

0.7801566,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408949,2.273471,0.3373965,321.8409,165.6742,268.4001,-0.2206626,2.221107,0.2607628,346.6974,197.9949,258.7288

0.7920823,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408947,2.27347,0.3373965,321.841,165.674,268.4001,-0.2206626,2.221107,0.2607628,346.6975,197.9949,258.7288

0.8049786,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408946,2.27347,0.3373965,321.8411,165.6738,268.4003,-0.2206626,2.221107,0.2607628,346.6975,197.9949,258.7288

0.8176293,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408946,2.27347,0.3373965,321.841,165.674,268.4002,-0.2206626,2.221107,0.2607628,346.6975,197.9949,258.7288

0.8296991,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408946,2.27347,0.3373964,321.841,165.6739,268.4002,-0.2206626,2.221107,0.2607628,346.6975,197.9949,258.7288

0.8429184,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408943,2.27347,0.3373964,321.8412,165.6735,268.4004,-0.2206626,2.221107,0.2607628,346.6975,197.9949,258.7288

0.8549147,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408949,2.273471,0.3373965,321.8409,165.6742,268.4001,-0.2206626,2.221107,0.2607628,346.6974,197.9949,258.7288

0.8677383,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408946,2.27347,0.3373964,321.841,165.6739,268.4002,-0.2206626,2.221107,0.2607628,346.6975,197.9949,258.7288

0.8804,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408948,2.273471,0.3373965,321.841,165.6741,268.4001,-0.2206626,2.221107,0.2607628,346.6975,197.9949,258.7288

0.8923653,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408947,2.27347,0.3373964,321.841,165.674,268.4002,-0.2206626,2.221107,0.2607628,346.6975,197.9949,258.7288

0.904854,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408945,2.27347,0.3373964,321.8411,165.6737,268.4003,-0.2206625,2.221107,0.2607628,346.6975,197.9949,258.7288

0.9181087,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408945,2.27347,0.3373964,321.8411,165.6737,268.4004,-0.2206625,2.221107,0.2607628,346.6975,197.9949,258.7288

0.9301309,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408947,2.27347,0.3373965,321.841,165.6741,268.4001,-0.2206626,2.221107,0.2607628,346.6975,197.9949,258.7288

0.9422296,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408943,2.27347,0.3373964,321.8411,165.6736,268.4004,-0.2206625,2.221107,0.2607628,346.6975,197.9949,258.7288

0.9551171,0.06695031,1.310239,0.2869407,7.645154,12.75654,46.59362,-0.1408948,2.273471,0.3373965,321.841,165.6741,268.4001,-0.2206626,2.221107,0.2607628,346.6975,197.9949,258.7288

