t,headX,headY,headZ,headRotX,headRotY,headRotZ,leftHandX,leftHandY,leftHandZ,leftHandRotX,leftHandRotY,leftHandRotZ,rightHandX,rightHandY,rightHandZ,rightHandRotX,rightHandRotY,rightHandRotZ

0,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,-0.05770247,1.928949,0.1362684,359.9209,339.917,2.336903,0.4115145,1.949337,0.3077901,359.9209,339.917,2.336903

0.02,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,-0.05770247,1.928949,0.1362684,359.9209,339.917,2.336903,0.4115145,1.949337,0.3077901,359.9209,339.917,2.336903

0.12,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.1292889,1.75802,0.7554578,349.1126,23.77601,308.379,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.1768574,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.1292635,1.75803,0.7554646,349.1013,23.74566,308.3753,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.1943042,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.1292595,1.758032,0.7554662,349.0995,23.74191,308.3805,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.201174,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.129255,1.75803,0.7554688,349.101,23.73633,308.379,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.2182389,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.1292548,1.758034,0.7554678,349.0973,23.73689,308.3826,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.2435852,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.1292552,1.758034,0.7554668,349.0978,23.73675,308.3846,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.2683304,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.1292492,1.758038,0.7554689,349.0923,23.73091,308.3832,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.296243,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.1292467,1.758034,0.7554709,349.0966,23.72723,308.3849,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.3176512,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.1292444,1.758038,0.7554708,349.0917,23.72542,308.3832,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.3433758,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.1292426,1.758038,0.7554713,349.0921,23.72268,308.3844,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.3684963,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.1292408,1.758042,0.7554709,349.088,23.72098,308.3828,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.4684963,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.1292318,1.758047,0.7554708,349.0807,23.71049,308.3825,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.5122463,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.1292217,1.758034,0.7554799,349.0946,23.69756,308.3885,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.5243416,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.1292222,1.758052,0.7554746,349.0769,23.6996,308.3864,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.5491704,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.1292208,1.75805,0.7554753,349.0785,23.69749,308.3847,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.5745185,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.1292218,1.75805,0.7554747,349.0786,23.6989,308.3876,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.5996533,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.1292177,1.758053,0.7554764,349.0757,23.69436,308.385,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.624985,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.1292174,1.758053,0.7554761,349.0756,23.69419,308.3873,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.6495185,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.1292163,1.758051,0.7554765,349.0768,23.69251,308.3864,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.6745772,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.1292162,1.758055,0.7554756,349.0726,23.69327,308.3878,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.6995826,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.129213,1.758052,0.755478,349.0758,23.68912,308.3889,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.7243356,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.1292153,1.758058,0.7554749,349.0694,23.69268,308.3878,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.74936,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.1292161,1.758057,0.755474,349.0706,23.69284,308.3877,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.7744522,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.1292125,1.758055,0.7554768,349.0721,23.68901,308.3867,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.7994972,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.1292094,1.758057,0.7554779,349.0707,23.6853,308.3885,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.8243925,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.1292157,1.75806,0.7554728,349.0668,23.69292,308.3874,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.8492004,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.1292083,1.758059,0.7554776,349.068,23.68419,308.3886,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.8744105,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.1292107,1.758057,0.7554769,349.0692,23.68711,308.387,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.89925,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.1292106,1.758059,0.7554762,349.0682,23.68649,308.3853,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.9240323,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.129213,1.758061,0.7554742,349.0657,23.68998,308.3881,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.9489651,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.1292091,1.758059,0.7554767,349.0671,23.68527,308.3856,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.9749929,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.129213,1.758061,0.7554744,349.0659,23.69045,308.3888,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.999495,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.1292103,1.75806,0.7554758,349.0664,23.68709,308.3893,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

1.025028,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.1292119,1.758064,0.7554739,349.0623,23.68984,308.3902,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

1.049511,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.1292085,1.758061,0.7554762,349.0648,23.68529,308.3879,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

1.074569,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.1292094,1.758065,0.755475,349.0609,23.68737,308.3903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

1.100098,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.1292078,1.758063,0.755476,349.0629,23.68474,308.3897,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

1.124298,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.1292143,1.758065,0.7554718,349.0602,23.69278,308.3866,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

1.149673,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.1292097,1.758064,0.7554747,349.0624,23.68688,308.3887,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

