t,headX,headY,headZ,headRotX,headRotY,headRotZ,leftHandX,leftHandY,leftHandZ,leftHandRotX,leftHandRotY,leftHandRotZ,leftHandVelX,leftHandVelY,leftHandVelZ,leftHandAngVelX,leftHandAngVelY,leftHandAngVelZ,rightHandX,rightHandY,rightHandZ,rightHandRotX,rightHandRotY,rightHandRotZ,rightHandVelX,rightHandVelY,rightHandVelZ,rightHandAngVelX,rightHandAngVelY,rightHandAngVelZ

15.4869,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0,0,0,0,0,0,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0,0,0,-2.572327E-38,-7.34684E-40,0

15.49735,0.192427,0.9771866,0.1047556,356.3685,333.4455,345.9309,0.192427,0.9771866,0.1047556,356.3685,333.4455,345.9309,0,0,0,0,0,0,0.192427,0.9771866,0.1047556,356.3685,333.4455,345.9309,0,0,0,0,0,0

15.51894,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,-0.2469521,0.9677235,0.05024146,0,-0.8589839,0.2426139

15.53161,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,-0.2426033,0.9680556,0.06333959,0,-0.8607938,0.2449142

15.54302,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0,0,0,0,0,0,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0,0,0,0,0,0

15.55537,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0,0,0,0,0,0,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0,0,0,0,0,0

15.56779,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0,0,0,0,0,0,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0,0,0,0,0,0

15.58044,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,-0.2469521,0.9677235,0.05024146,0,-0.8589839,0.2426139

15.59619,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,-0.2469521,0.9677235,0.05024146,0,-0.8589839,0.2426139

15.60616,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0,0,0,0,0,0,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0,0,0,0,0,0

15.61784,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,-0.2469521,0.9677235,0.05024146,0,-0.8589839,0.2426139

15.63029,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0,0,1.262172E-17,-8.393778E-43,-3.083785E-20,6.404214E-41,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,-1.011009E-17,3.279038E-43,0.05024146,0,0,0

15.6427,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0,0,0,0,0,0,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0,0,0,0,0,0

15.65573,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,-0.2469521,0.9677235,0.05024146,0,-0.8589839,0.2426139

15.66829,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0,0,0,0,0,0,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0,0,0,0,0,0

15.68075,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,-0.2469521,0.9677235,0.05024146,0,-0.8589839,0.2426139

15.69375,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,-0.2469521,0.9677235,0.05024146,0,-0.8589839,0.2426139

15.70605,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,-0.2469521,0.9677235,0.05024146,0,-0.8589839,0.2426139

15.71803,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0,0,0,0,0,0,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0,0,0,0,0,0

15.73033,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,-0.2469521,0.9677235,0.05024146,0,-0.8589839,0.2426139

15.74334,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,-0.2469521,0.9677235,0.05024146,0,-0.8589839,0.2426139

