t,headX,headY,headZ,headRotX,headRotY,headRotZ,leftHandX,leftHandY,leftHandZ,leftHandRotX,leftHandRotY,leftHandRotZ,leftHandVelX,leftHandVelY,leftHandVelZ,leftHandAngVelX,leftHandAngVelY,leftHandAngVelZ,rightHandX,rightHandY,rightHandZ,rightHandRotX,rightHandRotY,rightHandRotZ,rightHandVelX,rightHandVelY,rightHandVelZ,rightHandAngVelX,rightHandAngVelY,rightHandAngVelZ

12.901,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0.2222878,2.002669,0.06017223,357.1202,333.1638,345.6841,0,0,0,0,0,0,0.6517798,1.879191,0.2844263,357.1202,333.1638,345.6841,0,0,0,0,0,0

12.921,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0.2222878,2.002669,0.06017223,357.1202,333.1638,345.6841,0,0,0,0,0,0,0.6517798,1.879191,0.2844263,357.1202,333.1638,345.6841,0,0,0,0,0,0

12.95545,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,-3.22477E-11,8.393778E-43,-1.723597E-43,0,1.273586E-26,8.393778E-43,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,9.24857E-44,0,-4.484155E-44,0,2.405182E+11,8.393778E-43

12.96659,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0,0,-4.484155E-44,0,-2.242078E-44,0

12.97887,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0,0,0,0,0,0,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0,0,0,0,0,0

12.99201,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,-0.2469521,0.9677235,0.05024146,0,-0.8589839,0.2426139

13.00413,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,-0.2469521,0.9677235,0.05024146,0,-0.8589839,0.2426139

13.01632,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0,0,0,0,0,0,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0,0,0,0,0,0

13.02803,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0,0,0,0,0,0,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0,0,0,0,0,0

13.0414,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0,0,0,0,0,0,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0,0,0,0,0,0

13.05383,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0,0,0,0,0,0,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0,0,0,0,0,0

13.06623,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,-0.2469521,0.9677235,0.05024146,0,-0.8589839,0.2426139

13.07877,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,-0.2469521,0.9677235,0.05024146,0,-0.8589839,0.2426139

13.09159,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,-0.2469521,0.9677235,0.05024146,0,-0.8589839,0.2426139

13.10628,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0,0,0,0,0,0,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0,0,0,0,0,0

13.11593,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,-0.2469521,0.9677235,0.05024146,0,-0.8589839,0.2426139

13.12831,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,-0.2469521,0.9677235,0.05024146,0,-0.8589839,0.2426139

13.14135,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,-0.2469521,0.9677235,0.05024146,0,-0.8589839,0.2426139

13.15387,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0,0,0,0,0,0,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0,0,0,0,4.540096E+37,8.393778E-43

13.16529,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0,0,0,0,0,0,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0,0,0,0,0,0

13.17853,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,-0.2469521,0.9677235,0.05024146,0,-0.8589839,0.2426139

13.1907,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,-0.2469521,0.9677235,0.05024146,0,-0.8589839,0.2426139

13.20432,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,-0.2469521,0.9677235,0.05024146,0,-0.8589839,0.2426139

13.21632,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,-0.2469521,0.9677235,0.05024146,0,-0.8589839,0.2426139

13.22913,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0,0,0,0,0,0,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0,0,0,0,0,0

13.24051,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0,0,0,0,0,0,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0,0,0,0,0,0

13.25416,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,-0.2469521,0.9677235,0.05024146,0,-0.8589839,0.2426139

13.26609,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0,0,0,0,0,0,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0,0,0,0,0,0

13.27842,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,-0.2469521,0.9677235,0.05024146,0,-0.8589839,0.2426139

13.29133,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0,0,0,0,0,0,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0,0,0,0,0,0

13.30412,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0,0,0,0,0,0,0.1944199,0.9732068,0.1041107,357.1202,333.1638,345.6841,0,0,0,0,0,0

