t,headX,headY,headZ,headRotX,headRotY,headRotZ,leftHandX,leftHandY,leftHandZ,leftHandRotX,leftHandRotY,leftHandRotZ,rightHandX,rightHandY,rightHandZ,rightHandRotX,rightHandRotY,rightHandRotZ

0,-0.0659332,1.135944,0.4479489,338.1085,18.91187,20.55276,-0.25,1,0,0,0,0,0.25,1,0,0,0,0

0.02,-0.0659332,1.135944,0.4479489,338.1085,18.91187,20.55276,-0.25,1,0,0,0,0,0.25,1,0,0,0,0

0.12,-0.06424164,1.135527,0.4477991,338.9474,19.38032,20.0717,0,0,0,0,0,0,-0.09569098,0.7985877,0.6030768,352.437,296.4784,55.93348

0.1743704,-0.008452643,1.135265,0.2869197,14.76709,9.048964,357.8591,0,0,0,0,0,0,-0.1005323,0.7977308,0.6052768,351.9406,296.6202,55.55368

0.1873054,-0.04166162,1.113384,0.3118804,28.44502,6.462822,356.1524,0,0,0,0,0,0,-0.1003234,0.7975084,0.6052797,351.9116,296.6276,55.56675

0.1990375,-0.04216207,1.112813,0.3126996,28.86044,6.421398,355.6279,0,0,0,0,0,0,-0.1002448,0.797604,0.6052281,351.9284,296.6339,55.54029

0.2108378,-0.04431823,1.111168,0.315609,29.7121,6.339716,354.6642,0,0,0,0,0,0,-0.1000116,0.7975131,0.6052132,351.9136,296.6367,55.54695

0.2247623,-0.0443636,1.111165,0.3158211,29.49819,6.072973,354.677,0,0,0,0,0,0,-0.09982989,0.7974477,0.6052294,351.9003,296.6426,55.54623

0.2366302,-0.04534607,1.110562,0.3167199,29.55846,5.755064,354.5016,0,0,0,0,0,0,-0.0997546,0.7974225,0.605295,351.9091,296.6433,55.53093

0.2468164,-0.04619416,1.110087,0.3173676,29.73941,5.635413,354.4275,0,0,0,0,0,0,-0.09959652,0.7973267,0.6053499,351.9036,296.6436,55.53387

0.2592335,-0.04680293,1.109627,0.3179711,29.87745,5.582879,354.3664,0,0,0,0,0,0,-0.09966697,0.7971693,0.6053634,351.8892,296.6459,55.54518

0.2711399,-0.04787591,1.109275,0.318552,30.07151,5.311737,354.2375,0,0,0,0,0,0,-0.09980591,0.7971685,0.605287,351.8936,296.6462,55.53968

0.2842235,-0.04893154,1.109339,0.3190046,30.17695,5.042733,354.0354,0,0,0,0,0,0,-0.09959205,0.7972088,0.6051887,351.8894,296.6512,55.53562

0.3003013,-0.0498991,1.109475,0.319621,30.1426,4.865276,354.004,0,0,0,0,0,0,-0.09937596,0.797207,0.605105,351.8765,296.6551,55.53727

0.3098407,-0.05104491,1.109946,0.3203328,29.98789,4.878642,354.2731,0,0,0,0,0,0,-0.09913649,0.7972096,0.6049845,351.8709,296.6566,55.53598

0.3218481,-0.05184806,1.110549,0.3208797,29.73746,4.883717,354.4521,0,0,0,0,0,0,-0.09898347,0.797223,0.6048975,351.8669,296.6617,55.53036

0.33442,-0.05244847,1.111357,0.321321,29.45025,4.83639,354.505,0,0,0,0,0,0,-0.09883951,0.7972015,0.6048137,351.8605,296.6634,55.53113

0.3470729,-0.05331653,1.112396,0.3215567,29.02419,4.959279,354.739,0,0,0,0,0,0,-0.09900275,0.7971431,0.6047218,351.8565,296.6657,55.53522

0.3617567,-0.05385758,1.113301,0.3217585,28.62839,5.156217,355.0186,0,0,0,0,0,0,-0.09890774,0.797116,0.6046422,351.8534,296.6687,55.52959

0.4617567,-0.05423511,1.1143,0.3220966,28.10556,5.420525,355.3063,0,0,0,0,0,0,-0.09769051,0.7970044,0.6049778,351.8098,296.6995,55.4977

0.510765,-0.06524494,1.121899,0.3177537,25.36782,4.510874,358.2221,0,0,0,0,0,0,-0.09769524,0.7969925,0.6049666,351.8188,296.6881,55.50802

0.5385345,-0.0660842,1.121846,0.3165534,25.74543,4.68901,358.1993,0,0,0,0,0,0,-0.0976937,0.7969921,0.6049718,351.8194,296.693,55.50677

0.5629981,-0.06637418,1.121285,0.3157872,26.1622,4.987859,358.0068,0,0,0,0,0,0,-0.09769469,0.796991,0.604969,351.8203,296.6902,55.50779

0.5868376,-0.06706747,1.120946,0.3142773,26.68333,5.150202,357.8089,0,0,0,0,0,0,-0.09769446,0.7969937,0.6049688,351.8178,296.6902,55.50718

0.6006103,-0.06689497,1.120895,0.3143364,26.57388,5.173411,357.7695,0,0,0,0,0,0,-0.0976949,0.7969951,0.6049668,351.817,296.6885,55.50499

0.6136766,-0.06709899,1.121056,0.3142225,26.52114,5.204921,357.8331,0,0,0,0,0,0,-0.09769729,0.7969906,0.6049606,351.8226,296.6829,55.49617

0.6258232,-0.06732088,1.121267,0.3138391,26.43107,5.320892,357.9143,0,0,0,0,0,0,-0.09769463,0.7969916,0.604969,351.8202,296.6904,55.50433

