t,headX,headY,headZ,headRotX,headRotY,headRotZ,leftHandX,leftHandY,leftHandZ,leftHandRotX,leftHandRotY,leftHandRotZ,leftHandVelX,leftHandVelY,leftHandVelZ,leftHandAngVelX,leftHandAngVelY,leftHandAngVelZ,rightHandX,rightHandY,rightHandZ,rightHandRotX,rightHandRotY,rightHandRotZ,rightHandVelX,rightHandVelY,rightHandVelZ,rightHandAngVelX,rightHandAngVelY,rightHandAngVelZ

2.506146,-0.2447647,1.150248,0.4497517,336.3556,29.79519,69.16101,-1.157315,1.262095,0.9158449,336.3556,29.79519,69.16101,0,0,0,0,0,0,-1.096081,1.690159,0.6648233,336.3556,29.79519,69.16101,0,0,0,0,0,0

2.526146,-0.2447647,1.150248,0.4497517,336.3556,29.79519,69.16101,-1.157315,1.262095,0.9158449,336.3556,29.79519,69.16101,0,0,0,0,0,0,-1.096081,1.690159,0.6648233,336.3556,29.79519,69.16101,0,0,0,0,0,0

2.566397,-0.2447647,1.150248,0.4497517,336.3556,29.79519,69.16101,-0.2447647,1.150248,0.4497517,336.3556,29.79519,69.16101,-2.210777E-29,8.716076E-43,-1.723597E-43,0,1.098175E-29,8.716076E-43,-0.2447647,1.150248,0.4497517,336.3556,29.79519,69.16101,0,0,0,0,0,0

2.576375,-0.2447647,1.150248,0.4497517,336.3556,29.79519,69.16101,-0.2447647,1.150248,0.4497517,336.3556,29.79519,69.16101,0,0,0,0,0,0,-0.2447647,1.150248,0.4497517,336.3556,29.79519,69.16101,0,0,0,0,0,0

2.588034,-0.2447647,1.150248,0.4497517,336.3556,29.79519,69.16101,-0.2447647,1.150248,0.4497517,336.3556,29.79519,69.16101,NaN,NaN,NaN,-4.590374E-41,NaN,NaN,-0.2447647,1.150248,0.4497517,336.3556,29.79519,69.16101,0,0,0,0,0,0

