t,headX,headY,headZ,headRotX,headRotY,headRotZ,leftHandX,leftHandY,leftHandZ,leftHandRotX,leftHandRotY,leftHandRotZ,leftHandVelX,leftHandVelY,leftHandVelZ,leftHandAngVelX,leftHandAngVelY,leftHandAngVelZ,rightHandX,rightHandY,rightHandZ,rightHandRotX,rightHandRotY,rightHandRotZ,rightHandVelX,rightHandVelY,rightHandVelZ,rightHandAngVelX,rightHandAngVelY,rightHandAngVelZ

2.593966,-0.2447647,1.150248,0.4497517,336.3556,29.79519,69.16101,-1.157315,1.262095,0.9158449,336.3556,29.79519,69.16101,0,0,0,0,0,0,-1.096081,1.690159,0.6648233,336.3556,29.79519,69.16101,0,0,0,0,0,0

2.613966,-0.2447647,1.150248,0.4497517,336.3556,29.79519,69.16101,-1.157315,1.262095,0.9158449,336.3556,29.79519,69.16101,0,0,0,0,0,0,-1.096081,1.690159,0.6648233,336.3556,29.79519,69.16101,0,0,0,0,0,0

2.656695,-0.2447647,1.150248,0.4497517,336.3556,29.79519,69.16101,-0.6289676,1.450056,1.499307,49.07673,241.9277,6.085507,-0.0002299214,-0.005069434,0.007102872,-0.002837324,0.004206914,0.002663966,-0.2447647,1.150248,0.4497517,336.3556,29.79519,69.16101,0,0,0,0,0,0

2.692685,-0.2447647,1.150248,0.4497517,336.3556,29.79519,69.16101,-0.6289357,1.449989,1.499392,49.0802,241.938,6.091772,-0.0009377447,-0.004759599,0.006630086,-0.001201135,0.003842248,0.0002172685,-0.2447647,1.150248,0.4497517,336.3556,29.79519,69.16101,0,0,0,0,0,0

2.705892,-0.2447647,1.150248,0.4497517,336.3556,29.79519,69.16101,-0.629182,1.449913,1.49928,49.08472,241.9361,6.086185,-0.001087198,-0.004531444,0.006573309,-0.0004002808,0.005767967,0.002345955,-0.2447647,1.150248,0.4497517,336.3556,29.79519,69.16101,0,0,0,0,0,0

2.718597,-0.2447647,1.150248,0.4497517,336.3556,29.79519,69.16101,-0.629178,1.44991,1.499314,49.08679,241.9388,6.090849,-0.001242151,-0.004413673,0.006890722,-0.0007332402,0.008078085,-0.001796555,-0.2447647,1.150248,0.4497517,336.3556,29.79519,69.16101,0,0,0,0,0,0

2.730937,-0.2447647,1.150248,0.4497517,336.3556,29.79519,69.16101,-0.6291858,1.449903,1.499342,49.08847,241.9338,6.085616,-0.001300537,-0.004403399,0.006671253,-0.002160953,0.0054118,0.001211006,-0.2447647,1.150248,0.4497517,336.3556,29.79519,69.16101,0,0,0,0,0,0

2.745227,-0.2447647,1.150248,0.4497517,336.3556,29.79519,69.16101,-0.629124,1.449906,1.499397,49.0872,241.9388,6.090632,-0.001301837,-0.004033963,0.00680802,0.0004662829,0.003491022,-0.002255619,-0.2447647,1.150248,0.4497517,336.3556,29.79519,69.16101,0,0,0,0,0,0

2.756079,-0.2447647,1.150248,0.4497517,336.3556,29.79519,69.16101,-0.629101,1.449904,1.499446,49.09134,241.9403,6.092991,-0.001659311,-0.003827803,0.006823029,-0.003203906,0.00634284,-0.001418062,-0.2447647,1.150248,0.4497517,336.3556,29.79519,69.16101,0,0,0,0,0,0

2.768072,-0.2447647,1.150248,0.4497517,336.3556,29.79519,69.16101,-0.6290888,1.449905,1.499497,49.09281,241.941,6.089958,-0.001684537,-0.003690066,0.00697415,-0.0003963317,0.005722171,0.002354996,-0.2447647,1.150248,0.4497517,336.3556,29.79519,69.16101,0,0,0,0,0,0

2.784838,-0.2447647,1.150248,0.4497517,336.3556,29.79519,69.16101,-0.6291062,1.449903,1.499544,49.0931,241.9477,6.095366,-0.001860464,-0.003434066,0.007143812,0.001020177,0.008356777,-0.0006419983,-0.2447647,1.150248,0.4497517,336.3556,29.79519,69.16101,0,0,0,0,0,0

2.792711,-0.2447647,1.150248,0.4497517,336.3556,29.79519,69.16101,-0.6291111,1.449888,1.499563,49.0945,241.9452,6.092183,-0.001741486,-0.003424954,0.006615007,0.0005497465,0.004063549,0.001384188,-0.2447647,1.150248,0.4497517,336.3556,29.79519,69.16101,0,0,0,0,0,0

2.806178,-0.2447647,1.150248,0.4497517,336.3556,29.79519,69.16101,-0.6291069,1.44987,1.499594,49.09739,241.9466,6.094037,-0.001986447,-0.003364851,0.006485038,0.0005497793,0.004063583,0.001384072,-0.2447647,1.150248,0.4497517,336.3556,29.79519,69.16101,0,0,0,0,0,0

2.818246,-0.2447647,1.150248,0.4497517,336.3556,29.79519,69.16101,-0.6290905,1.449857,1.499625,49.09896,241.9481,6.098478,-0.001954791,-0.003569719,0.006526711,-0.002258502,0.004684059,-0.002388557,-0.2447647,1.150248,0.4497517,336.3556,29.79519,69.16101,0,0,0,0,0,0

2.830204,-0.2447647,1.150248,0.4497517,336.3556,29.79519,69.16101,-0.6290452,1.449847,1.499666,49.10312,241.951,6.099421,-0.002150242,-0.003783033,0.006710421,-0.00147461,0.006604756,-0.0002668103,-0.2447647,1.150248,0.4497517,336.3556,29.79519,69.16101,0,0,0,0,0,0

2.842983,-0.2447647,1.150248,0.4497517,336.3556,29.79519,69.16101,-0.6290503,1.449823,1.499675,49.10242,241.9509,6.096288,-0.002201824,-0.003816649,0.006670811,0.002290471,0.004357519,0.002523961,-0.2447647,1.150248,0.4497517,336.3556,29.79519,69.16101,0,0,0,0,0,0

