t,headX,headY,headZ,headRotX,headRotY,headRotZ,leftHandX,leftHandY,leftHandZ,leftHandRotX,leftHandRotY,leftHandRotZ,leftHandVelX,leftHandVelY,leftHandVelZ,leftHandAngVelX,leftHandAngVelY,leftHandAngVelZ,rightHandX,rightHandY,rightHandZ,rightHandRotX,rightHandRotY,rightHandRotZ,rightHandVelX,rightHandVelY,rightHandVelZ,rightHandAngVelX,rightHandAngVelY,rightHandAngVelZ

0.5881911,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1779499,1.862199,0.4714249,0.1163515,263.8524,351.7538,0,0,0,0,0,0,-0.230797,1.790485,0.9634252,0.1163515,263.8524,351.7538,0,0,0,0,0,0

0.6081911,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1779499,1.862199,0.4714249,0.1163515,263.8524,351.7538,0,0,0,0,0,0,-0.230797,1.790485,0.9634252,0.1163515,263.8524,351.7538,0,0,0,0,0,0

0.6497505,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-2.435118E+37,8.393778E-43,-1.723597E-43,0,1.80182E-26,8.393778E-43,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,9.24857E-44,0,-4.484155E-44,0,2.405182E+11,8.393778E-43

0.6602122,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,0,0,-4.484155E-44,0,-2.242078E-44,0

0.6699052,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,0,0,0,0,0,0,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,0,0,0,0,0,0

0.6823721,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.143425,0.9896588,-0.002030715,0,0.1056942,-0.01735795

0.6947723,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,0,0,0,0,0,0,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,0,0,0,0,0,0

0.7071444,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.143425,0.9896588,-0.002030715,0,0.1056942,-0.01735795

0.7200897,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,0,0,0,0,0,0,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,0,0,0,0,0,0

0.7319984,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.143425,0.9896588,-0.002030715,0,0.1056942,-0.01735795

0.7446543,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.143425,0.9896588,-0.002030715,0,0.1056942,-0.01735795

0.7566563,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.143425,0.9896588,-0.002030715,0,0.1056942,-0.01735795

0.7693187,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.143425,0.9896588,-0.002030715,0,0.1056942,-0.01735795

0.7818858,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.143425,0.9896588,-0.002030715,0,0.1056942,-0.01735795

0.7942822,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,0,0,0,0,0,0,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,0,0,0,0,0,0

0.8063688,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.143425,0.9896588,-0.002030715,0,0.1056942,-0.01735795

0.8194013,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,0,0,0,0,0,0,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,0,0,0,0,0,0

0.8321268,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.143425,0.9896588,-0.002030715,0,0.1056942,-0.01735795

0.8445703,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.143425,0.9896588,-0.002030715,0,0.1056942,-0.01735795

0.8569908,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.143425,0.9896588,-0.002030715,0,0.1056942,-0.01735795

0.8696255,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.143425,0.9896588,-0.002030715,0,0.1056942,-0.01735795

0.8825385,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,0,0,0,0,0,0,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,0,0,0,0,0,0

0.8944629,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.143425,0.9896588,-0.002030715,0,0.1056942,-0.01735795

0.9070121,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.143425,0.9896588,-0.002030715,0,0.1056942,-0.01735795

0.9196501,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.143425,0.9896588,-0.002030715,0,0.1056942,-0.01735795

0.9323332,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.143425,0.9896588,-0.002030715,0,0.1056942,-0.01735795

0.9442893,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.143425,0.9896588,-0.002030715,0,0.1056942,-0.01735795

0.9570578,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,0,0,0,0,0,0,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,0,0,0,0,0,0

0.9695595,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.143425,0.9896588,-0.002030715,0,0.1056942,-0.01735795

0.9820109,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,0,0,0,0,0,0,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,0,0,0,0,0,0

0.9948177,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.143425,0.9896588,-0.002030715,0,0.1056942,-0.01735795

1.007061,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.143425,0.9896588,-0.002030715,0,0.1056942,-0.01735795

1.019288,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,0,0,0,0,0,0,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,0,0,0,0,0,0

1.032152,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.143425,0.9896588,-0.002030715,0,0.1056942,-0.01735795

